url,statut_gsc,derniere_exploration,canonical_utilisateur,canonical_google,sitemap,date_publication,route,decision,raison_decision,present_build,present_sitemap_build,canonical_build,robots_build,langue_build,mots_build,inlinks_build,profondeur_hub,titles_dupliques
https://l0g.fr/en/publications/water-electricity/,"Détectée, actuellement non indexée",,https://l0g.fr/en/publications/water-electricity/,,oui,2026-08-21,/en/publications/water-electricity/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/publications/water-electricity/,index,en,967,2,2,
https://l0g.fr/en/tools/cooling-adaptation-quote/,"Détectée, actuellement non indexée",,https://l0g.fr/en/tools/cooling-adaptation-quote/,,oui,,/en/tools/cooling-adaptation-quote/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/tools/cooling-adaptation-quote/,index,en,826,3,2,
https://l0g.fr/en/tools/e-invoicing-platform-cost/,"Détectée, actuellement non indexée",,https://l0g.fr/en/tools/e-invoicing-platform-cost/,,oui,,/en/tools/e-invoicing-platform-cost/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/tools/e-invoicing-platform-cost/,index,en,1242,3,2,
https://l0g.fr/en/tools/reservoir-arbitrator/,"Détectée, actuellement non indexée",,https://l0g.fr/en/tools/reservoir-arbitrator/,,oui,,/en/tools/reservoir-arbitrator/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/tools/reservoir-arbitrator/,index,en,437,3,2,
https://l0g.fr/en/tools/thermal-discharge-thresholds/,"Détectée, actuellement non indexée",,https://l0g.fr/en/tools/thermal-discharge-thresholds/,,oui,,/en/tools/thermal-discharge-thresholds/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/tools/thermal-discharge-thresholds/,index,en,358,3,2,
https://l0g.fr/en/tools/wet-megawatt-counter/,"Détectée, actuellement non indexée",,https://l0g.fr/en/tools/wet-megawatt-counter/,,oui,,/en/tools/wet-megawatt-counter/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/tools/wet-megawatt-counter/,index,en,381,3,2,
https://l0g.fr/en/tools/who-can-see-my-e-invoice/,"Détectée, actuellement non indexée",,https://l0g.fr/en/tools/who-can-see-my-e-invoice/,,oui,,/en/tools/who-can-see-my-e-invoice/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/tools/who-can-see-my-e-invoice/,index,fr,1115,3,2,
https://l0g.fr/guides/lire-les-cds-souverains/,"Détectée, actuellement non indexée",,https://l0g.fr/guides/lire-les-cds-souverains/,,oui,2026-07-28T08:24:00.000Z,/guides/lire-les-cds-souverains/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/guides/lire-les-cds-souverains/,index,fr,1882,4,1,
https://l0g.fr/guides/lire-une-titrisation-de-credit-a-la-consommation/,"Détectée, actuellement non indexée",,https://l0g.fr/guides/lire-une-titrisation-de-credit-a-la-consommation/,,oui,2026-07-27T21:25:00.000Z,/guides/lire-une-titrisation-de-credit-a-la-consommation/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/guides/lire-une-titrisation-de-credit-a-la-consommation/,index,fr,2233,5,1,
https://l0g.fr/hebdo/2026-08-02-atlas-athene/,"Détectée, actuellement non indexée",,https://l0g.fr/hebdo/2026-08-02-atlas-athene/,,oui,,/hebdo/2026-08-02-atlas-athene/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/hebdo/2026-08-02-atlas-athene/,index,fr,1152,2,2,
https://l0g.fr/maintenant/,"Détectée, actuellement non indexée",,https://l0g.fr/maintenant/,,oui,,/maintenant/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/maintenant/,index,fr,2376,870,1,
https://l0g.fr/outils/devis-adaptation-refroidissement/,"Détectée, actuellement non indexée",,https://l0g.fr/outils/devis-adaptation-refroidissement/,,oui,,/outils/devis-adaptation-refroidissement/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/outils/devis-adaptation-refroidissement/,index,fr,861,4,2,
https://l0g.fr/outils/qui-peut-voir-ma-facture/,"Détectée, actuellement non indexée",,https://l0g.fr/outils/qui-peut-voir-ma-facture/,,oui,,/outils/qui-peut-voir-ma-facture/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/outils/qui-peut-voir-ma-facture/,index,fr,1188,3,2,
https://l0g.fr/posts/bilan-apollo-non-consolide/,"Détectée, actuellement non indexée",,https://l0g.fr/posts/bilan-apollo-non-consolide/,,oui,2026-07-30T21:40:00.000Z,/posts/bilan-apollo-non-consolide/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/posts/bilan-apollo-non-consolide/,index,fr,5569,6,2,
https://l0g.fr/posts/credit-prive-risque-trou-donnees/,"Détectée, actuellement non indexée",,https://l0g.fr/posts/credit-prive-risque-trou-donnees/,,oui,2026-07-29T15:00:00.000Z,/posts/credit-prive-risque-trou-donnees/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/posts/credit-prive-risque-trou-donnees/,index,fr,3932,5,2,
https://l0g.fr/posts/euroclear-chambre-forte-opaque-avoirs-russes/,"Détectée, actuellement non indexée",,https://l0g.fr/posts/euroclear-chambre-forte-opaque-avoirs-russes/,,oui,2026-07-18T08:14:00.000Z,/posts/euroclear-chambre-forte-opaque-avoirs-russes/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/posts/euroclear-chambre-forte-opaque-avoirs-russes/,index,fr,5142,9,2,
